participante,valor
La Entusiasta,102
La Entusiasta,118
La Entusiasta,109
La Entusiasta,113
La Entusiasta,128
La Entusiasta,132
La Entusiasta,105
La Entusiasta,130
La Entusiasta,132
La Entusiasta,136
La Entusiasta,119
La Entusiasta,136
La Entusiasta,141
La Entusiasta,137
La Entusiasta,128
La Entusiasta,126
La Entusiasta,117
La Entusiasta,105
La Entusiasta,108
La Entusiasta,115
La Entusiasta,146
La Entusiasta,137
La Entusiasta,122
La Entusiasta,108
La Entusiasta,110
La Entusiasta,121
La Entusiasta,135
La Entusiasta,147
La Entusiasta,124
La Entusiasta,120
La Entusiasta,119
La Entusiasta,122
La Entusiasta,113
La Entusiasta,125
La Entusiasta,136
La Entusiasta,128
La Entusiasta,152
La Entusiasta,132
La Entusiasta,139
La Entusiasta,102
La Entusiasta,125
La Entusiasta,142
La Entusiasta,136
La Entusiasta,115
La Entusiasta,147
La Entusiasta,132
La Entusiasta,117
La Entusiasta,140
La Entusiasta,113
La Entusiasta,152
La Confiada,102
La Confiada,112
La Confiada,131
La Confiada,124
La Confiada,126
La Confiada,120
La Confiada,113
La Confiada,114
La Confiada,119
La Confiada,123
La Confiada,102
La Confiada,134
La Confiada,126
La Confiada,109
La Confiada,129
La Confiada,108
La Confiada,127
La Confiada,130
La Prudente,128
La Prudente,132
La Prudente,118
La Prudente,133
La Prudente,141
La Prudente,108
La Prudente,105
La Prudente,130
La Prudente,121
La Prudente,113
La Prudente,140
La Prudente,122
La Prudente,134
La Prudente,132
La Prudente,120
La Prudente,119
La Prudente,123
La Prudente,120
La Prudente,117
La Prudente,133
La Prudente,127
La Prudente,135
La Prudente,129
La Prudente,115
La Prudente,112
La Prudente,141
La Prudente,132
La Prudente,139
La Prudente,124
La Prudente,127
La Prudente,120
La Prudente,130
La Prudente,128
La Prudente,103
La Prudente,122
La Prudente,127
La Prudente,131
La Prudente,140
La Prudente,137
La Prudente,122
La Prudente,119
La Prudente,115
REALIDAD,145
REALIDAD,146
REALIDAD,138
REALIDAD,136
REALIDAD,135
REALIDAD,115
REALIDAD,131
REALIDAD,135
REALIDAD,135
REALIDAD,128
REALIDAD,122
REALIDAD,145
REALIDAD,127
REALIDAD,142
REALIDAD,145
REALIDAD,135
REALIDAD,145
REALIDAD,131
REALIDAD,138
REALIDAD,145
REALIDAD,141
REALIDAD,140
REALIDAD,135
REALIDAD,143
REALIDAD,137
REALIDAD,133
REALIDAD,138
REALIDAD,137
REALIDAD,133
REALIDAD,137
REALIDAD,130
REALIDAD,138
REALIDAD,135
REALIDAD,134
REALIDAD,140
REALIDAD,119
REALIDAD,141
REALIDAD,131
REALIDAD,128
REALIDAD,130
REALIDAD,126
REALIDAD,141
REALIDAD,138
REALIDAD,140
REALIDAD,137
REALIDAD,133
REALIDAD,147
REALIDAD,134
REALIDAD,130
REALIDAD,133
REALIDAD,142
REALIDAD,139
REALIDAD,122
REALIDAD,150
REALIDAD,141
REALIDAD,141
REALIDAD,140
REALIDAD,143
REALIDAD,132
REALIDAD,152
REALIDAD,131
REALIDAD,139
REALIDAD,140
REALIDAD,148
REALIDAD,134
REALIDAD,137
REALIDAD,132
REALIDAD,116
REALIDAD,126
REALIDAD,155
REALIDAD,146
REALIDAD,135
REALIDAD,144
REALIDAD,137
REALIDAD,133
REALIDAD,137
REALIDAD,132
REALIDAD,142
REALIDAD,126
REALIDAD,133
REALIDAD,138
REALIDAD,143
REALIDAD,144
REALIDAD,129
REALIDAD,136
REALIDAD,131
REALIDAD,143
REALIDAD,128
REALIDAD,132
REALIDAD,146
REALIDAD,125
REALIDAD,138
REALIDAD,136
REALIDAD,127
REALIDAD,128
REALIDAD,133
REALIDAD,145
REALIDAD,138
REALIDAD,127
REALIDAD,141
